398,Immediatamente prima di effettuare un decollo in parapendio è necessario eseguire i controlli di sicurezza che sono:,"[1/0]scarpe allacciate, selletta allacciata e regolata come previsto, bretelle e cordini correttamente predisposti ed impugnati, ala in posizione corretta, casco allacciato, vento e condizioni meteo favorevoli, spazio aereo libero.","[0/0]casco e guanti indossati, terreno sgombro ed adatto, cassoni dell’ala aperti, vento favorevole e spazio aereo libero.","[0/0]moschettoni o maillons serrati, integrità dell’ala verificata, selletta correttamente collegata all’ala, freni liberi.",

399,"Nel parapendio oltre a curare che la posizione del pilota risulti in volo quella corretta, è indispensabile, affinché l’ala mantenga le caratteristiche garantite dall’omologazione, verificare che il tipo di selletta usato sia compatibile e che vengano rispettate le seguenti disposizioni:",[0/0]regolare la selletta per ottenere che la distanza tra le bretelle (destra e sinistra) sia sempre superiore a 40 cm.,[0/0]regolare la selletta in modo che il pilota possa comunque arrivare ad afferrare i cordini anteriori esterni ben sopra i maillons.,[1/0]regolare la selletta in modo che la distanza tra le bretelle (destra e sinistra) nonché tra i maillons ed il piano della selletta sia quella prevista e riportata sulla targhetta di omologazione.,

400,"Se ci rendiamo conto che il nostro parapendio è umido, quali accorgimenti dobbiamo adottare durante il volo:",[0/0]effettuare le “orecchie” per scendere più velocemente.,"[0/0]non ci sono particolari accorgimenti da adottare, perché la vela umida non presenta alcun problema di assetto.",[1/0]pilotare l’ala con dolcezza rimanendo nella fascia alta delle velocità.,

401,Il gonfiaggio del parapendio fronte all’ala (spalle al vento) è particolarmente consigliato:,[1/0]in condizioni di vento sostenuto.,[0/0]in condizioni di vento al traverso.,[0/0]in condizioni di vento debole o calmo.,

402,Le fasi in cui è possibile pensare di suddividere il decollo in parapendio sono:,"[0/0]gonfiaggio, rincorsa, involo e successiva presa di velocità.","[1/0]gonfiaggio, sollevamento e controllo con i freni dell’ala sulla verticale, verifica a vista della stessa, rincorsa ed involo con presa di velocità e mantenimento della traiettoria prevista.","[0/0]gonfiaggio e sollevamento, controllo con i freni dell’ala, rincorsa ed involo, mantenimento della traiettoria prevista.",

403,"Dopo il gonfiaggio del parapendio fronte all’ala finalizzato al decollo, al fine di evitare che l’ala si scomponga o passi davanti nel momento in cui ci si gira e si inizia la rincorsa, è importante:",[0/0]che la rotazione del pilota avvenga velocemente.,[0/0]che il pilota abbandoni le maniglie dei freni prima di girarsi per poi riprenderle prontamente fronte al pendio.,[1/0]che il pilota con l’uso di bretelle e freni assuma e mantenga il completo controllo dell’ala sulla verticale prima di girarsi fronte al pendio.,

404,È possibile il decollo in parapendio con limitata componente di vento al traverso?,"[0/0]si, senza particolari accorgimenti.","[1/0]si, gonfiando l’ala contro vento e conducendola successivamente con un’azione graduale sui freni lungo la linea di massima pendenza del pendio sino allo stacco.","[0/0]no, il decollo in queste condizioni risulta praticamente impossibile anche al pilota più esperto.",

405,Un corretto decollo in parapendio è quello in cui il pilota:,[0/0]valutata comunque sufficiente la portanza prodotta dall’ala interrompe la rincorsa e si sistema al più presto nella selletta.,"[0/0]controllata e verificata l’ala adeguatamente, con busto inarcato all’indietro corre guardando l’ala con velocità costante sino allo stacco.","[1/0]controllata e verificata l’ala adeguatamente, con busto in avanti corre con velocità in progressivo aumento sino allo stacco.",

406,La sequenza di interruzione di un decollo in parapendio dovrebbe essere:,[0/0]interrompere al più presto la corsa e qualora possibile frenare completamente l’ala.,"[1/0]frenare opportunamente l’ala onde utilizzarla come dispositivo di arresto aerodinamico, ed interrompere gradualmente la corsa.","[0/0]interrompere gradualmente la corsa per non inciampare, senza badare all’ala dal momento che comunque non si andrà in volo.",

407,"Se, a gonfiaggio avvenuto, il pilota trattiene le bretelle anteriori, durante la corsa di decollo, è probabile che:",[0/0]il decollo avvenga con ritardo e sia necessario correre più a lungo.,[1/0]il decollo debba essere interrotto in quanto l’ala collasserà per chiusura frontale.,[0/0]si verifichi una chiusura laterale il cui ricupero dovrà essere fatto solo dopo il decollo.,

408,"Se dopo il decollo si constata una chiusura laterale del parapendio, come deve comportarsi il pilota?",[1/0]mantenere o ristabilire il controllo direzionale dell’ala e solo dopo averlo fatto intervenire opportunamente per provocare la riapertura dell’estremità collassata.,[0/0]intervenire immediatamente per provocare la riapertura dell’estremità collassata trazionando e rilasciando alternativamente il freno dalla parte della chiusura.,[0/0]intervenire immediatamente per provocare la riapertura dell’estremità collassata mantenendo trazionato a fondo il freno dalla parte della chiusura.,

409,E' possibile eseguire virate in parapendio con il solo spostamento laterale del peso del pilota?,"[1/0]si, in modo più o meno accentuato, dipendentemente dal tipo di selletta e dalla sua regolazione.","[0/0]si, ma a rischio di provocare uno stallo.",[0/0]no.,

410,"Volendo sfruttare al meglio le prestazioni del parapendio, sarà opportuno che il pilota esegua virate utilizzando il peso e successivamente:",[0/0]rilasci entrambi i freni per poi trazionare quello interno alla virata.,"[1/0]rilasci, se trazionato, il freno situato dalla parte opposta al senso di virata per poi modulare l’inclinazione con entrambi i comandi.",[0/0]trazioni il freno interno per impostare la massima inclinazione.,

411,Il parapendio è un mezzo che presenta il vantaggio di poter girare abbastanza stretto da non uscire da una eventuale termica anche se di modeste dimensioni. Quali delle seguenti opzioni è preferibile per sfruttare meglio questo tipo di condizioni?,"[1/0]scegliere un ottimo compromesso tra inclinazione laterale e tasso di caduta che consenta comunque di non uscire dalla termica, tenendo conto del suo andamento verticale.",[0/0]eseguire comunque virate più piatte possibile per ottenere il minimo tasso di caduta.,[0/0]effettuare degli “otto” in modo tale da rimanere entro i limiti della termica stessa.,

412,E’ possibile provare l’avvicinamento allo stallo in parapendio e con quale tecnica per garantirsi adeguati margini di sicurezza?,"[0/0]si, effettuandolo solo in quota indipendentemente dal modo in cui si interviene sui comandi.","[0/0]no, tutto ciò che ha a che vedere con lo stallo comunque non può essere effettuato mantenendo adeguati margini di sicurezza in quanto induce sicuramente configurazioni inusuali.","[1/0]si, durante un corso SIV, seguiti da istruttore qualificato volando sull’acqua ed effettuandolo con azione dolce e progressiva sui comandi sino al limite dello stallo, provvedendo ad un immediato ricupero delle condizioni normali di volo prima che l’ala collassi bruscamente dietro al pilota.",

413,Come si riconosce uno stallo paracadutale del parapendio?,"[1/0]ala perfettamente gonfia, velocità all’aria praticamente nulla, tasso di caduta elevato.","[0/0]ala perfettamente gonfia, velocità all’aria praticamente nulla , tasso di caduta normale, forti vibrazioni sui comandi.","[0/0]ala con chiusura laterale, velocità all’aria praticamente nulla, tendenza dell’ala all’autorotazione.",

414,"In volo con il parapendio può accadere che accidentalmente si raggiunga lo stallo volando troppo lenti. Per una corretta rimessa, il pilota dovrà:",[0/0]a stallo avvenuto rilasciare immediatamente e velocemente i comandi per poi trazionarli bruscamente durante l’abbattimento in avanti dell’ala.,"[1/0]a stallo avvenuto mantenere i comandi affondati, attendere guardando verso l’alto il ritorno dell’ala sulla verticale, quindi rilasciare gradualmente e simmetricamente i comandi pronto ad intervenire per gestire il pendolamento in avanti.","[0/0]a stallo avvenuto rilasciare dolcemente i comandi, iniziando se possibile una virata per acquisire velocità.",

415,Quali sono le manovre di discesa rapida in parapendio?,[0/0]effettuare virate continue che consentono di aumentare il carico alare.,[0/0]fare volare l’ala in condizioni di stallo.,"[1/0]le “orecchie”, i “wing over” e la spirale picchiata.",

416,Qual è il risultato di una simmetrica e leggera tensione esercitata sugli elevatori posteriori del parapendio?,[0/0]aumento della velocità e diminuzione della portanza.,"[1/0]variazione dell’assetto, dell’incidenza, della velocità.",[0/0]diminuzione della sola incidenza.,

417,È possibile in parapendio pilotare facendo uso dei soli elevatori posteriori?,[1/0]si.,"[0/0]si, ma non è possibile variare la velocità sulla traiettoria.",[0/0]no.,

418,Il pilota che agisce sull’acceleratore sa di poter:,"[1/0]variare l’assetto, l’incidenza e la velocità dell’ala entro limiti ben precisi.",[0/0]variare quanto vuole la velocità dell’ala agendo su assetto ed incidenza.,[0/0]variare consistentemente la pendenza della traiettoria in quanto riesce a produrre ampie variazioni di incidenza.,

419,"In volo rettilineo in uscita da una virata, se per effetto di una sovraccorrezione si innescano oscillazioni laterali del parapendio il pilota dovrà:",[0/0]cercare di smorzarle insistendo ad agire sui comandi in controfase.,[0/0]rilasciare completamente i comandi per qualche secondo e poi iniziare una virata accentuata a destra o sinistra.,[1/0]rallentare trazionando con una certa decisione ed in modo simmetrico i comandi sino ad ottenere la stabilizzazione dell'ala.,

420,"La corretta sequenza in finale per l’atterraggio in parapendio, in condizioni di vento moderato, è:",[0/0]massima velocità all’aria sino a circa un metro dal suolo quindi intervento deciso sui comandi per provocare lo stallo.,"[1/0]massima velocità all’aria possibile sino a circa 4 o 5 metri dal suolo, primo intervento sui comandi per diminuire velocità e pendenza (freni trazionati circa al 20%), graduale ma completa frenata in prossimità del suolo sino al contatto.",[0/0]regime di minimo tasso di caduta sino a circa due metri dal suolo quindi graduale intervento sui comandi sino a provocare lo stallo.,

421,Nella zona di decollo abbiamo vento sufficiente a consentire un gonfiaggio fronte vela ma il vento è laterale (25 gradi) rispetto alla massima pendenza del terreno;,[0/0]predisponiamo la vela per il gonfiaggio lungo la massima pendenza per sfruttarla al meglio.,[1/0]orientiamo la vela contro vento per gonfiarla e successivamente eseguiamo la corsa di decollo lungo la massima pendenza.,[0/0]orientiamo la vela contro vento per gonfiarla e successivamente decolliamo lungo questa direzione.,

422,"Decollo in deltaplano. Tra i controlli di sicurezza pre-decollo, uno in particolare risulta essenziale e deve essere eseguito con una tecnica ed una cura particolare perché ha causato svariati e gravi incidenti:",[0/0]il controllo del posizionamento del deltaplano.,[1/0]il controllo dell’avvenuto aggancio del pilota al deltaplano.,[0/0]il controllo del corretto ripiegamento del paracadute di emergenza.,

423,Come è necessario verificare nel miglior modo l’avvenuto corretto aggancio del pilota al deltaplano?,"[1/0]facendo sorreggere la chiglia del deltaplano da un assistente, disponendosi in posizione orizzontale di volo sospesi all’aggancio, verificando oltre all’aggancio stesso la posizione del corpo rispetto alla barra.",[0/0]agganciando il moschettone e verificando attentamente con un controllo visivo che l’aggancio stesso sia correttamente avvenuto.,[0/0]facendo verificare dall’assistente che l’aggancio sia stato correttamente effettuato.,

424,Quali precauzioni si devono adottare se si intende decollare in deltaplano con vento sostenuto?,[0/0]durante la fase immediatamente precedente il decollo far tenere l’estremità alare da un solo assistente.,[1/0]accertarsi che durante il decollo nessuno degli assistenti trattenga l’ala.,[0/0]provvedere a che gli assistenti spingano adeguatamente la chiglia in fase di decollo.,

425,"Se il vento è angolato entro i 45° rispetto alla direzione di decollo, è possibile decollare in deltaplano e come?","[0/0]no, anche se la componente è moderata.","[1/0]si, se la componente è limitata, correndo lungo la linea di massima pendenza con la prua parzialmente orientata contro vento.","[0/0]si, anche se la componente è sostenuta, purché si corra contro vento.",

426,Se il pilota intraprende la corsa di decollo con il deltaplano molto cabrato:,[0/0]il decollo avviene prima ed è possibile sorvolare con più margine eventuali ostacoli sulla traiettoria.,[0/0]il decollo avviene a velocità più bassa ed è più semplice il controllo del deltaplano dopo il decollo.,"[1/0]il decollo avviene con incidenza troppo elevata, la traiettoria che ne risulta è ripida ed è alto il rischio di stallo.",

427,È possibile l’interruzione di decollo in deltaplano e quali rischi comporta eventualmente?,"[1/0]si, solo in caso di estrema necessità, con alta probabilità di danni alla struttura e conseguenze per il pilota.","[0/0]si, ogniqualvolta lo si ritenga necessario senza particolari problematiche se si conosce e si applica la tecnica corretta.","[0/0]si, purché non la si effettui quando si è prossimi allo stacco e si abbia una discreta esperienza.",

428,Quando è opportuno che il pilota si sistemi nell’imbrago dopo il decollo in deltaplano?,[0/0]il più presto possibile dopo lo stacco.,"[1/0]acquisito il completo controllo della velocità e della direzione, lontano dal pendio.",[0/0]non esistono limitazioni o tecniche particolari per sistemarsi nell’imbrago.,

429,Come si può variare l’angolo d’incidenza in volo con il deltaplano?,[0/0]solo agendo sul dispositivo chiamato “overdrive”.,"[0/0]appoggiando il peso del pilota sulla barra ,indi spingendola o trazionandola.",[1/0]agendo sulla barra di controllo con movimenti di spinta o trazione.,

430,Individuare la corretta sequenza per effettuare una virata in deltaplano:,"[1/0]presa di velocità, spostamento laterale del corpo rispetto alla barra parallelamente alla chiglia, spinta sulla barra per coordinare la virata, riposizionamento del corpo in posizione centrata rispetto alla barra.","[0/0]presa di velocità, spostamento laterale del corpo rispetto alla barra parallelamente alla chiglia, riposizionamento del corpo in posizione centrata rispetto alla barra.","[0/0]presa di velocità, spinta asimmetrica per ottenere una rotazione del deltaplano attorno all’asse verticale, contemporaneo spostamento laterale del corpo rispetto alla barra, riposizionamento del corpo in posizione centrata rispetto alla barra.",

431,Quale errore di manovra causa generalmente una scivolata d’ala del deltaplano?,[0/0]mancata coordinazione dei movimenti durante l’esecuzione di una virata.,[1/0]mancata coordinazione dei movimenti ed insufficiente spinta sulla barra durante l’esecuzione di una virata.,[0/0]eccessiva spinta sulla barra durante una virata.,

432,Come si esegue il controllo di rollio in deltaplano?,[0/0]facendo semplicemente ruotare l’asse del corpo rispetto alla barra.,[0/0]spostando lateralmente il corpo e facendo nello stesso tempo ruotare il suo asse rispetto alla barra.,"[1/0]spostando lateralmente il corpo rispetto alla barra, sempre mantenendolo parallelo alla chiglia.",

433,Un ala rigida vira:,[1/0]grazie all’azione di comandi aerodinamici oltreché allo spostamento del peso.,[0/0]grazie all’azione dei comandi aerodinamici.,[0/0]grazie allo spostamento del peso.,

434,"A distanza di sicurezza dal terreno, come si esegue correttamente una prova di stallo in deltaplano?",[1/0]si spinge dolcemente e gradualmente sulla barra per aumentare l’angolo di incidenza sino allo stallo ed a stallo avvenuto si ottiene la rimessa riaumentando la velocità al mezzo.,"[0/0]si spinge in avanti sui montanti per ottenere angoli d’incidenza più elevati, e si mantiene questa posizione per almeno 30 secondi.",[0/0]dopo adeguata presa di velocità si spinge sulla barra con decisione e rapidità per ottenere un brusco aumento dell’incidenza.,

435,Come deve comportarsi il pilota di deltaplano una volta entrato in termica se vuole sfruttarla?,[1/0]mantenere il regime di minimo tasso di caduta ed effettuare delle virate di 360° per rimanere in termica.,[0/0]mantenere il regime di massima efficienza ed effettuare delle virate di 360° per rimanere in termica.,[0/0]mantenere sempre la minima velocità possibile ed effettuare delle virate accentuate di 360° per rimanere in termica.,

436,Cosa è il tumbling?,[0/0]è un manovra acrobatica.,[0/0]è una manovra di discesa rapida.,[1/0]è un rovesciamento in avanti del delta che si ha a seguito di fortissime turbolenze quali quelle dovute ai rotori.,

437,Come è possibile intervenire per aumentare la velocità di trim del deltaplano?,[0/0]spostando indietro il punto di aggancio del pilota rispetto alla struttura.,[1/0]spostando in avanti il punto di aggancio del pilota rispetto alla struttura.,[0/0]spostando in alto il punto di aggancio del pilota rispetto alla struttura.,

438,La corretta sequenza in finale per l’atterraggio con il deltaplano in condizioni di vento moderato è:,"[1/0]raccordare adeguatamente in prossimità del suolo, mantenendo una traiettoria orizzontale sino al momento di “aprire” per stallare il deltaplano alla minima velocità di sostentamento possibile.","[0/0]raccordare adeguatamente a 4 o 5 metri dal suolo, mantenendo poi una traiettoria lievemente picchiata sino al momento di “aprire” per stallare il deltaplano ad una velocità ancora ben superiore alla minima di sostentamento.","[0/0]raccordare adeguatamente in prossimità del suolo, mantenendo una traiettoria orizzontale sino in prossimità del punto di contatto prestabilito quindi “aprire” con decisione per stallare il deltaplano, indipendentemente dalla velocità raggiunta.",

439,In quale momento ci si porta in posizione verticale per atterrare in deltaplano?,[0/0]appena si avverte che il deltaplano risente dell’effetto suolo dopo aver raccordato in finale per l’atterraggio.,"[1/0]in finale per l’atterraggio, durante la fase di raccordo in prossimità del suolo, prima di “aprire” per stallare il deltaplano.",[0/0]più tardi possibile durante l’apertura per stallare il deltaplano. ,

440,È più preoccupante un taglio sulla superficie del parapendio in corrispondenza:,[1/0]della parte anteriore centrale dell’estradosso.,[0/0]della parte posteriore laterale dell’estradosso.,[0/0]della parte posteriore laterale dell’intradosso.,

441,I cordini del parapendio devono essere di materiale:,[0/0]più elastico possibile.,[1/0]più anelastico e resistente possibile.,[0/0]più resistente possibile indipendentemente dall’elasticità.,

442,Durante il volo in parapendio sono sottoposti al maggior carico i cordini:,[1/0]anteriori.,[0/0]posteriori.,[0/0]laterali.,

443,Il parapendio è generalmente fabbricato con materiale “rip-stop”. Che cosa significa?,"[0/0]che il tessuto stesso non può strapparsi, ma solo tagliarsi.",[0/0]che un eventuale taglio o strappo nel tessuto ha molte probabilità di estendersi pericolosamente.,[1/0]che un eventuale taglio o strappo nel tessuto ha poche probabilità di estendersi pericolosamente.,

444,Il tessuto con cui è generalmente costruito un parapendio deve essere:,"[0/0]resistente all’usura, molto elastico e gas permeabile.","[0/0]resistente all’usura, anelastico e gas permeabile.","[1/0]resistente all’usura, anelastico e non gas permeabile.",

445,Quali agenti esterni danneggiano maggiormente il tessuto di un parapendio rendendolo fragile e gas-permeabile?,[1/0]i raggi ultravioletti e l’umidità.,[0/0]i raggi infrarossi e l’umidità.,[0/0]i raggi infrarossi ed il caldo secco.,

446,Se il tessuto di un parapendio è divenuto poroso:,[0/0]risulta compromesso solo il suo aspetto.,[0/0]risultano un poco degradate solo le sue prestazioni.,[1/0]risultano degradate le sue prestazioni e compromessa la sua affidabilità.,

447,Dovendo riporre un parapendio si avrà cura di farlo:,"[1/0]solo se la vela è asciutta ed in luogo secco, lontano da fonti di calore ed al riparo dalla luce solare.","[0/0]solo se la vela è asciutta, in ambiente moderatamente umido e caldo, al riparo dalla luce solare.","[0/0]anche se è un poco umido, purché in luogo caldo, lasciando il sacco contenitore aperto onde consentire all’umidità di evaporare.",

448,"Il cordino di un parapendio è rimasto impigliato ed il kevlar che ne costituisce l’anima è ora privo di rivestimento, ma integro:",[0/0]provvisoriamente lo accorciamo annodandolo per evitare che la parte scoperta sia soggetta a trazione.,[1/0]provvisoriamente lo rivestiamo con nastro isolante onde evitare di esporre alla luce il tratto di kevlar scoperto.,[0/0]provvisoriamente aggiungiamo con opportuni nodi un altro pezzo di cordino al tratto scoperto per creare un rinforzo.,

449,Decidiamo di sostituire i maillons dell’imbrago con moschettoni. Avremo cura di:,[1/0]verificare che questi ultimi siano omologati e provvisti di ghiera a vite o a scatto.,[0/0]verificare che questi ultimi siano montati correttamente.,[0/0]usare moschettoni di tipo leggero per non appesantire l’imbrago stesso.,

450,Che cosa è necessario verificare in corrispondenza di piombature di cavi e tiranti del deltaplano?,[0/0]che i cavi ed i tiranti non siano rotti sotto la piombatura.,[0/0]che le piombature siano semplicemente in buono stato.,[1/0]che le piombature siano in buono stato ed i cavi o tiranti non presentino segni di logoramento in vicinanza delle piombature stesse.,

451,Se ci accorgiamo che qualche tirante del deltaplano è sfilacciato o logoro:,[1/0]lo sostituiamo immediatamente prima di riandare in volo.,[0/0]lo ripariamo alla meglio non potendolo sostituire immediatamente.,[0/0]andiamo in volo facendo attenzione a non sollecitare la struttura con particolari manovre.,

452,Durante l’ultimo volo in deltaplano abbiamo effettuato un atterraggio pesante. Il crossbar ed un montante si sono piegati:,[0/0]riandiamo in volo avendo sostituito il montante e raddrizzato perfettamente il crossbar.,[1/0]riandiamo in volo solo dopo aver sostituito il montante ed il crossbar con ricambi originali.,[0/0]riandiamo in volo avendo raddrizzato perfettamente montante e crossbar.,

453,Il materiale di cui sono rivestite le superfici di un deltaplano si deteriora particolarmente se esposto a lungo a:,[0/0]raggi infrarossi.,[1/0]raggi ultravioletti.,[0/0]clima particolarmente secco.,

454,Se si deve riporre il deltaplano per un lungo periodo dovremo aver cura di:,"[1/0]farlo in apposita sacca quando siamo certi che è perfettamente asciutto, sistemandolo in luogo meno umido possibile, lontano dalla luce del sole e da fonti di calore.","[0/0]sistemarlo in apposita sacca dopo aver effettuato l’ultimo volo, riporlo su appositi supporti fissati alle pareti di uno scantinato dove non può essere raggiunto dalla luce del sole.","[0/0]lasciarlo ripiegato senza sacca, sistemandolo possibilmente in uno scantinato o in garage dove non può essere raggiunto dalla luce del sole, possibilmente su appositi supporti fissati alle pareti.",

455,Se in corrispondenza di qualche elemento costituente il corredo di tiranteria o bulloneria del deltaplano si riscontra presenza di ruggine:,[0/0]è necessario prima di volare rimuoverla prontamente usando appositi prodotti antiruggine sul particolare interessato.,[0/0]è possibile comunque intraprendere il volo purché si sia accertata l’integrità del particolare interessato.,"[1/0]è indispensabile sostituire il particolare in questione con altro idoneo di identiche caratteristiche, prima di intraprendere qualsiasi tipo di volo.",

456,Quale norma deve essere rispettata nella manutenzione del paracadute di soccorso?,[0/0]mai aprirlo perché si potrebbe commettere un errore nel ripiegarlo.,[1/0]aprirlo alle scadenze previste o se bagnato e ripiegarlo sotto la supervisione di persone competenti.,"[0/0]aprirlo, farlo asciugare in luogo asciutto e ripiegarlo solo se siamo certi che sia bagnato o inumidito.",

457,Riguardo al paracadute di soccorso è necessario accertare prima di ogni volo che:,[0/0]la maniglia di azionamento sia all’interno della sacca di lancio.,"[0/0]non sia stato aperto anche solo per ispezione, in quanto la ripiegatura non eseguita dal costruttore non garantisce l’apertura.","[1/0]la fune di vincolo sia saldamente ancorata, la sacca correttamente posizionata, la maniglia di azionamento sia facilmente raggiungibile ed azionabile.",

458,Per quale motivo un paracadute di soccorso che non sia stato sottoposto a periodica ispezione non garantisce sufficiente affidabilità?,[0/0]perché il materiale con cui è fabbricato si deteriora rapidamente se non gli si fa prendere aria ogni tanto.,"[1/0]perché il materiale con cui è fabbricato può “incollarsi” per effetto del ripiegamento nella sacca, non garantendo una corretta e pronta apertura in caso di bisogno.",[0/0]perché la fune di vincolo deve essere verificata ogni tanto in quanto può deteriorarsi con il rischio che si strappi in caso di utilizzo.,

459,Il materiale e la tecnologia con cui sono fabbricati i paracadute di soccorso per il volo libero garantiscono totale sicurezza per aperture effettuate:,[0/0]a qualsiasi velocità di caduta.,[1/0]a velocità di caduta contenute entro certi limiti indicati dal costruttore.,[0/0]solo a velocità pari a quelle massime del deltaplano e del parapendio. ,

460,La sicurezza del volo in deltaplano e parapendio dipende moltissimo dal rapporto esistente tra esperienza del pilota e caratteristiche del mezzo utilizzato.,[1/0]si.,[0/0]assolutamente no.,"[0/0]si, ma solo se si tratta di volo in condizioni forti.",

461,La sicurezza del volo in deltaplano e parapendio dipende tra l’altro anche dal rapporto tra l’esperienza del pilota e le condizioni meteo affrontate:,[0/0]assolutamente no.,[1/0]si.,"[0/0]si, ma solo se si tratta di un volo di cross.",

462,Ci viene proposto l’acquisto di un’ala omologata alla quale sono state però apportate delle modifiche che ne migliorano le prestazioni. Qual è l’atteggiamento più conservativo da tenere sotto il profilo della sicurezza?,[0/0]prendere in considerazione il mezzo ma solo dopo averlo personalmente provato al limite delle prestazioni.,[0/0]acquistarlo solo se chi ce lo propone è persona esperta e fidata.,[1/0]respingere la proposta orientando esclusivamente le proprie scelte su mezzi provvisti di omologazione ed assolutamente conformi al modello originale.,

463,Quando va effettuata la revisione periodica dei mezzi?,[0/0]quando si notano reazioni anomale o si sospettano variazioni nelle prestazioni del mezzo.,[1/0]ad intervalli definiti dal costruttore perché le caratteristiche dei materiali subiscono variazioni anche solo per invecchiamento.,"[0/0]ad intervalli definiti dal costruttore se si vola assiduamente, riducendo la frequenza se si vola meno a patto di conservare l'attrezzatura con cura.",

464,Omettere o trascurare i controlli di sicurezza pre-volo:,[1/0]è senz’altro pericoloso.,[0/0]è tecnicamente scorretto.,[0/0]può non essere pericoloso se l’esperienza è molta.,

465,"Se avete dei dubbi sulle condizioni meteo in rapporto alla vostra attrezzatura e/o esperienza, pur avendo sentito il parere di un pilota più esperto:",[0/0]è utile superare ogni indugio ed intraprendere il volo per migliorare le proprie capacità.,[0/0]è necessario sentire ancora il parere di almeno un altro pilota esperto prima di intraprendere il volo.,[1/0]è opportuno considerare i propri dubbi come valido e sufficiente motivo per non intraprendere assolutamente il volo.,

466,Per quale motivo un pilota di modesta esperienza non dovrebbe volare con un’ala ad alte prestazioni anche se giudicata facile e sicura da piloti più esperti?,[0/0]perché le ali ad alte prestazioni sono comunque insicure anche se qualcuno non lo ammette.,"[1/0]perché la sicurezza del volo dipende molto dal rapporto esistente tra esperienza del pilota e prestazioni dell’ala, che deve necessariamente essere equilibrato.","[0/0]perché comunque non riuscirebbe a sfruttarne le prestazioni, pur volando in sicurezza.",

467,"Vi trovate al decollo di un volo che non conoscete. Le condizioni sono forti, ma tutti decollano con successo. Tra i seguenti atteggiamenti che potete tenere quale ritenete sia più conservativo sotto il profilo della sicurezza?",[1/0]attendere che le condizioni inizino a ridursi e solo allora intraprendere il volo tenendo presenti i consigli di chi vi è parso più equilibrato ed esperto.,[0/0]predisporsi ad intraprendere il volo non prima di aver preso nota dei consigli forniti dagli esperti del luogo.,[0/0]predisporsi ad intraprendere il volo imitando il piano di volo e le manovre degli esperti del luogo onde migliorare la propria personale esperienza.,

468,Per quale motivo si ritiene pericoloso il decollo in discendenza o con vento in coda?,[0/0]solo perché la pendenza della traiettoria di volo risulterà troppo elevata appena staccati da terra.,[1/0]per l’eccessiva velocità che il pilota deve sviluppare correndo e per problemi di traiettoria una volta decollati.,[0/0]per i problemi di auto stabilità del mezzo che possono insorgere in tali condizioni.,

469,Come deve essere valutato il decollo da un dirupo a scalino di circa 90° con deltaplano o parapendio?,[1/0]molto pericoloso.,[0/0]molto tecnico.,[0/0]normale se si ha buona esperienza.,

470,"La giornata è umida e le termiche generano velocemente nubi cumuliformi. Entrati in termica, è necessario prestare attenzione al fatto che:",[0/0]si può scatenare un temporale e potremmo essere colpiti da un fulmine.,[0/0]l’ascendenza può essere associata a turbolenza che rende poco piacevole il volo.,"[1/0]l’ascendenza può divenire tanto forte da impedirci di scendere, correndo così il grave rischio di essere trascinati in una nube a carattere temporalesco.",

471,Quale maggior pericolo si corre volando in nube?,[0/0]avere una collisione con altri apparecchi.,[0/0]subire un degrado delle prestazioni a causa di eventuali formazioni di ghiaccio sulla struttura dell’apparecchio.,"[1/0]perdere il senso dell’orientamento e il controllo dell’apparecchio, poiché gli organi dell’equilibrio funzionano male in mancanza di riferimenti visivi.",

472,"È dimostrato che il wind shear è un fenomeno pericoloso per il volo in generale, ma in particolare per il Volo Libero. Che cosa s’intende per wind shear?",[0/0]solo un improvviso aumento dell’intensità del vento nel tempo e/o nello spazio.,[1/0]un’improvvisa variazione di direzione e/o d’intensità del vento nel tempo e/o nello spazio.,[0/0]un improvviso aumento dell’intensità del vento relativo sull’ala.,

473,Rispetto al suolo non avanziamo. Siamo alla presenza di un vento meteorologico contrario la cui velocità è pari alla nostra velocità all’aria. Se di colpo il vento cessasse l’ala:,"[1/0]risulterebbe, anche se per un tempo brevissimo, senz’altro investita da un vento relativo nullo.",[0/0]continuerebbe a volare alla velocità all’aria che aveva prima.,[0/0]non avrebbe comunque problemi di natura aerodinamica.,

474,Che cosa s’intende per configurazione inusuale di un deltaplano e di un parapendio?,[0/0]una configurazione o una situazione di volo normale per l’ala ma alla quale il pilota non è abituato.,[1/0]una configurazione dell’ala o una situazione di volo anomala e al di fuori del normale inviluppo di volo e di manovrabilità previsti.,[0/0]una situazione di volo in cui i valori dell’incidenza sono ai limiti dello stallo.,

475,Un'ala certificata offre le seguenti garanzie rispetto a un'ala non certificata:,"[0/0]le reazioni dell'ala certificata sono sempre controllabili e non pericolose, quelle dell'ala non certificata sono pericolose.","[1/0]le reazioni dell'ala non certificata non sono note, quelle dell'ala certificata sono note (relativamente alle manovre di omologazione).","[0/0]un'ala certificata è adatta al pilota medio, le ali non certificate sono riservate ai competitori.",

